Number of topics,Random variable,Coherence score
19.0,2.0,0.4641624497708612
19.0,3.0,0.4527108102928654
19.0,4.0,0.45902943816166936
19.0,5.0,0.4653636925764144
19.0,6.0,0.44216629541133534
19.0,7.0,0.4546013112901559
19.0,8.0,0.4732849062725114
19.0,9.0,0.461788644076009
19.0,10.0,0.47048142245654967
20.0,1.0,0.4857673701858237
20.0,2.0,0.45822112236867696
20.0,3.0,0.46387949131056344
20.0,4.0,0.45681718386903825
20.0,5.0,0.4661829289990919
20.0,6.0,0.4680903439726826
20.0,7.0,0.47993142348474044
20.0,8.0,0.45831537888090323
20.0,9.0,0.46370469841324635
20.0,10.0,0.47200564608866874
21.0,1.0,0.47224328083596956
21.0,2.0,0.4729349213802919
21.0,3.0,0.43979417434874996
21.0,4.0,0.45354798058599155
21.0,5.0,0.4674453773047308
21.0,6.0,0.4771766665846111
21.0,7.0,0.43750882626839527
21.0,8.0,0.46467012289353804
21.0,9.0,0.4701502237739847
21.0,10.0,0.45162106887809456
22.0,1.0,0.45448909688027805
22.0,2.0,0.4406763982795759
22.0,3.0,0.45293256548333594
22.0,4.0,0.44701270321044734
22.0,5.0,0.44920256850257184
22.0,6.0,0.4498977747328814
22.0,7.0,0.47656001197267217
22.0,8.0,0.45831537962077534
22.0,9.0,0.4461594638902651
22.0,10.0,0.43450544822382664
23.0,1.0,0.4541506079751901
23.0,2.0,0.4637915243135164
23.0,3.0,0.4681047924214364
23.0,4.0,0.44578787491225286
23.0,5.0,0.4536147973491502
23.0,6.0,0.4817523472714159
23.0,7.0,0.4667636558497993
23.0,8.0,0.4567984321493412
23.0,9.0,0.4586879203270488
23.0,10.0,0.46609580226530445
24.0,1.0,0.459534450144866
24.0,2.0,0.470022571890418
24.0,3.0,0.4441038454459068
24.0,4.0,0.46507194864104545
24.0,5.0,0.4676075170053264
24.0,6.0,0.4499680419690284
24.0,7.0,0.4471192334952916
24.0,8.0,0.46104689621644496
24.0,9.0,0.45976346234790194
24.0,10.0,0.4616820763465512
25.0,1.0,0.4724531141456051
25.0,2.0,0.4498411744129902
25.0,3.0,0.4590349843803907
25.0,4.0,0.44743193623174704
25.0,5.0,0.45905565602056647
25.0,6.0,0.4603907714692198
25.0,7.0,0.4664084585286606
25.0,8.0,0.46238024196109945
25.0,9.0,0.4368082497122218
25.0,10.0,0.46089191015411834
26.0,1.0,0.4624984999278872
26.0,2.0,0.45210819958986254
